Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,最高温度,最低温度,AQI,风向,降水量,天气
Jet Airways,06-09,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882,41℃,33℃,0,西风3级,0.11,晴雨
Multiple carriers,05-27,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625,37℃,24℃,0,东南风3级,0.0,雨
Air India,06-01,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907,37℃,26℃,0,西北风3级,3.07,晴雨
Air India,03-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011,33℃,20℃,0,西风2级,0.0,多云晴
SpiceJet,04-15,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830,39℃,29℃,0,西风1级,0.0,晴
Jet Airways,06-12,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,41℃,34℃,0,西北风3级,0.0,晴
Air India,06-12,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381,41℃,34℃,0,西北风3级,0.0,晴
Jet Airways,05-27,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,37℃,24℃,0,东南风3级,0.0,雨
GoAir,03-06,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495,32℃,19℃,0,西风3级,0.0,晴
Jet Airways,06-09,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292,41℃,33℃,0,西风3级,0.11,晴雨
IndiGo,06-01,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238,37℃,26℃,0,西北风3级,3.07,晴雨
GoAir,05-15,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682,41℃,32℃,0,西风3级,0.0,晴
Jet Airways,06-15,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,40℃,32℃,0,西北风3级,0.0,多云
Jet Airways,05-18,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,40℃,29℃,0,西北风3级,0.0,多云晴
IndiGo,06-27,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,39℃,29℃,0,东风2级,4.83,多云雨
