Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,最高温度,最低温度,AQI,风向,降水量,天气
4,30,0,0,21,49,66,87,1,3,13882,13,15,0,13,0.11,6
6,26,0,0,7,63,275,243,0,3,8625,9,7,0,2,0.0,7
1,27,0,0,6,53,316,35,0,3,8907,9,8,0,8,3.07,6
1,1,0,0,0,102,280,151,1,3,14011,5,4,0,12,0.0,1
8,13,0,0,26,43,235,206,0,3,5830,11,11,0,11,0.0,4
4,31,0,0,7,83,224,115,0,1,10262,13,16,0,8,0.0,4
1,31,0,0,8,134,288,120,1,3,13381,13,16,0,8,0.0,4
4,26,0,0,7,99,230,97,0,1,12898,9,7,0,2,0.0,7
2,2,0,0,7,85,299,213,0,3,19495,4,3,0,13,0.0,4
4,30,0,0,16,143,222,57,1,3,13292,13,15,0,13,0.11,6
3,27,0,0,22,147,39,220,0,3,8238,9,8,0,8,3.07,6
2,22,0,0,7,26,232,222,0,3,7682,13,14,0,13,0.0,4
4,32,0,0,25,89,225,112,1,1,10919,12,14,0,8,0.0,0
4,23,0,0,7,27,212,217,0,1,12373,12,11,0,8,0.0,1
3,36,0,0,7,59,306,4,0,3,5894,11,11,0,3,4.83,3
4,28,0,0,7,27,257,20,0,3,14924,10,11,0,7,0.0,5
6,24,0,0,14,27,251,21,0,3,9646,14,15,0,8,0.0,5
4,23,0,0,7,140,269,119,0,1,12373,12,11,0,8,0.0,1
6,6,0,0,7,46,306,22,0,3,13062,0,0,0,0,0.0,1
4,36,0,0,0,152,273,91,1,1,11150,11,11,0,3,4.83,3
4,3,0,0,9,62,240,198,3,1,7202,3,4,0,1,0.0,1
6,19,0,0,7,126,17,229,0,3,8073,9,10,0,7,0.0,1
1,10,0,0,24,20,180,158,0,3,5117,7,6,0,5,0.0,5
6,28,0,0,7,43,257,2,0,3,12524,10,11,0,7,0.0,5
3,22,0,0,7,92,23,5,0,3,7191,13,14,0,13,0.0,4
3,35,0,0,7,59,306,4,0,3,5894,13,15,0,1,0.0,7
1,24,0,0,5,18,275,36,1,3,10861,14,15,0,8,0.0,5
6,35,0,0,7,66,257,238,0,1,10791,13,15,0,1,0.0,7
4,35,0,0,0,152,228,38,1,3,12819,13,15,0,1,0.0,7
3,6,0,0,6,10,204,212,0,3,6893,0,0,0,0,0.0,1
4,32,0,0,7,112,225,92,0,1,10262,12,14,0,8,0.0,0
3,36,0,0,7,63,306,263,0,3,5894,11,11,0,3,4.83,3
6,23,0,0,7,46,257,0,0,3,10197,12,11,0,8,0.0,1
3,35,0,0,24,1,136,216,0,3,5636,13,15,0,1,0.0,7
4,29,0,0,19,52,61,85,1,3,13014,11,12,0,5,0.0,4
6,26,0,0,14,77,314,259,0,3,9646,9,7,0,2,0.0,7
6,2,0,0,7,3,236,21,0,3,17057,4,3,0,13,0.0,4
1,2,0,0,5,18,275,36,1,3,13748,4,3,0,13,0.0,4
4,31,0,0,2,131,224,68,1,3,14300,13,16,0,8,0.0,4
4,35,0,0,7,140,79,239,0,1,10262,13,15,0,1,0.0,7
4,23,0,0,19,129,73,255,1,1,13029,12,11,0,8,0.0,1
6,8,0,0,7,66,252,236,0,3,11421,3,4,0,7,0.0,5
6,8,0,0,7,7,275,49,0,3,7574,3,4,0,7,0.0,5
1,20,0,0,20,74,287,176,1,3,11596,10,9,0,7,0.0,4
4,25,0,0,0,152,272,91,1,3,15129,11,7,0,10,1.5,3
4,2,0,0,7,120,62,1,0,3,17024,4,3,0,13,0.0,4
2,36,0,0,7,26,232,222,0,3,5281,11,11,0,3,4.83,3
6,23,0,0,14,27,314,60,0,3,10348,12,11,0,8,0.0,1
1,2,0,0,24,110,185,73,0,3,12677,4,3,0,13,0.0,4
6,1,0,0,7,96,32,1,0,3,15147,5,4,0,12,0.0,1
4,20,0,0,7,27,257,20,0,3,15554,10,9,0,7,0.0,4
1,0,0,0,7,151,277,94,0,3,27430,5,3,0,5,0.0,4
4,32,0,0,7,64,71,72,0,1,10262,12,14,0,8,0.0,0
9,21,0,0,9,90,249,197,3,3,6216,13,12,0,9,0.0,4
6,24,0,0,7,64,25,44,0,3,14067,14,15,0,8,0.0,5
4,23,0,0,0,127,269,127,1,3,15129,12,11,0,8,0.0,1
4,29,0,0,25,24,61,109,1,3,13376,11,12,0,5,0.0,4
1,36,0,0,11,148,296,105,1,3,10441,11,11,0,3,4.83,3
4,1,0,0,7,36,252,9,0,3,17024,5,4,0,12,0.0,1
6,12,0,0,7,112,18,245,0,3,13017,8,7,0,7,0.0,4
3,32,0,0,24,1,136,216,0,3,5636,12,14,0,8,0.0,0
3,30,0,0,14,33,245,251,0,3,6442,13,15,0,13,0.11,6
6,24,0,0,14,76,9,19,0,3,9486,14,15,0,8,0.0,5
4,28,0,0,2,131,58,249,1,1,15318,10,11,0,7,0.0,5
1,10,0,0,24,72,180,101,0,3,5117,7,6,0,5,0.0,5
3,35,0,0,6,94,304,210,0,3,6147,13,15,0,1,0.0,7
6,30,0,0,7,73,306,246,0,3,7005,13,15,0,13,0.11,6
4,6,0,0,4,122,256,132,1,1,9270,0,0,0,0,0.0,1
4,36,0,0,2,131,229,68,1,3,14300,11,11,0,3,4.83,3
4,2,0,0,7,3,62,146,0,3,17024,4,3,0,13,0.0,4
3,20,0,0,14,25,245,260,0,3,6442,10,9,0,7,0.0,4
8,31,0,0,26,43,235,206,0,3,5264,13,16,0,8,0.0,4
4,26,0,0,7,75,85,60,0,1,12898,9,7,0,2,0.0,7
4,8,0,0,7,128,84,258,0,1,6540,3,4,0,7,0.0,5
4,10,0,0,7,83,216,115,0,1,5177,7,6,0,5,0.0,5
1,14,0,0,9,119,307,200,3,3,8246,12,13,0,12,0.0,0
6,36,0,0,7,64,306,262,0,3,13587,11,11,0,3,4.83,3
3,10,0,0,7,135,13,223,0,3,5073,7,6,0,5,0.0,5
6,24,0,0,7,36,306,34,0,3,14277,14,15,0,8,0.0,5
4,27,0,0,7,56,54,82,0,1,10262,9,8,0,8,3.07,6
6,22,0,0,7,99,23,262,0,3,13727,13,14,0,13,0.0,4
8,35,0,0,26,43,235,206,0,3,4812,13,15,0,1,0.0,7
3,36,0,0,22,147,52,220,0,3,5775,11,11,0,3,4.83,3
1,8,0,0,28,12,116,142,0,3,7165,3,4,0,7,0.0,5
3,35,0,0,14,100,314,227,0,3,6412,13,15,0,1,0.0,7
4,35,0,0,7,46,79,88,0,1,10262,13,15,0,1,0.0,7
6,8,0,0,7,27,242,249,0,3,12537,3,4,0,7,0.0,5
3,16,0,0,9,15,175,198,3,3,5013,7,7,0,3,0.0,1
1,23,0,0,9,11,160,173,3,3,6934,12,11,0,8,0.0,1
6,28,0,0,7,23,257,25,0,3,10877,10,11,0,7,0.0,5
3,8,0,0,7,99,36,263,0,3,7048,3,4,0,7,0.0,5
4,23,0,0,0,152,74,168,1,3,15129,12,11,0,8,0.0,1
8,29,0,0,24,20,206,214,0,3,5583,11,12,0,5,0.0,4
6,29,0,0,14,27,245,268,0,3,9646,11,12,0,5,0.0,4
6,28,0,0,7,40,275,8,0,3,7677,10,11,0,7,0.0,5
3,27,0,0,6,11,204,211,0,3,6842,9,8,0,8,3.07,6
6,30,0,0,7,46,257,0,0,3,12192,13,15,0,13,0.11,6
1,31,0,0,7,46,275,2,0,3,8372,13,16,0,8,0.0,4
6,20,0,0,7,56,275,259,0,3,14323,10,9,0,7,0.0,4
4,30,0,0,19,14,66,118,1,3,13014,13,15,0,13,0.11,6
1,29,0,0,8,87,281,165,1,3,13591,11,12,0,5,0.0,4
4,1,0,0,16,13,253,191,1,3,18799,5,4,0,12,0.0,1
1,23,0,0,7,75,275,226,0,3,10191,12,11,0,8,0.0,1
4,3,0,0,7,3,301,76,0,1,13843,3,4,0,1,0.0,1
3,18,0,0,22,147,40,220,0,3,6349,1,5,0,4,0.2,10
4,2,0,0,7,120,302,141,0,3,17024,4,3,0,13,0.0,4
6,23,0,0,7,27,306,42,0,3,13727,12,11,0,8,0.0,1
6,35,0,0,7,43,257,2,0,3,12524,13,15,0,1,0.0,7
6,30,0,0,7,46,306,22,0,3,13587,13,15,0,13,0.11,6
4,30,0,0,7,128,66,258,0,1,10577,13,15,0,13,0.11,6
3,22,0,0,7,59,306,4,0,3,6979,13,14,0,13,0.0,4
8,29,0,0,26,43,235,206,0,3,5264,11,12,0,5,0.0,4
9,1,0,0,9,19,176,197,3,3,8001,5,4,0,12,0.0,1
1,27,0,0,0,130,276,123,1,3,10651,9,8,0,8,3.07,6
6,8,0,0,14,53,312,28,0,3,6601,3,4,0,7,0.0,5
1,6,0,0,7,126,292,130,0,3,6587,0,0,0,0,0.0,1
4,29,0,0,7,36,257,12,0,3,14714,11,12,0,5,0.0,4
4,28,0,0,19,14,257,38,1,3,13014,10,11,0,7,0.0,5
3,3,0,0,14,8,245,13,0,3,6171,3,4,0,1,0.0,1
6,6,0,0,7,66,35,42,0,3,7695,0,0,0,0,0.0,1
3,35,0,0,7,63,27,55,0,3,5684,13,15,0,1,0.0,7
6,31,0,0,14,28,245,257,0,3,6513,13,16,0,8,0.0,4
1,27,0,0,7,26,275,24,0,3,9929,9,8,0,8,3.07,6
6,29,0,0,18,116,16,241,1,3,18275,11,12,0,5,0.0,4
1,12,0,0,24,20,187,158,0,3,4487,8,7,0,7,0.0,4
1,3,0,0,6,136,167,18,0,3,8991,3,4,0,1,0.0,1
3,35,0,0,9,15,175,198,3,3,5000,13,15,0,1,0.0,7
1,1,0,0,24,20,182,158,0,3,14042,5,4,0,12,0.0,1
6,26,0,0,7,112,30,245,0,1,7308,9,7,0,2,0.0,7
4,35,0,0,7,46,228,159,0,1,10262,13,15,0,1,0.0,7
4,26,0,0,7,140,85,239,0,1,12898,9,7,0,2,0.0,7
3,1,0,0,7,7,236,251,0,3,14871,5,4,0,12,0.0,1
1,6,0,0,29,78,292,171,1,3,8708,0,0,0,0,0.0,1
6,29,0,0,7,32,275,18,0,3,9001,11,12,0,5,0.0,4
4,29,0,0,19,14,61,118,1,1,10368,11,12,0,5,0.0,4
3,3,0,0,15,23,308,51,1,3,8146,3,4,0,1,0.0,1
4,8,0,0,7,75,84,60,0,3,12242,3,4,0,7,0.0,5
1,29,0,0,15,77,184,93,1,3,10939,11,12,0,5,0.0,4
1,29,0,0,11,61,142,99,1,3,11753,11,12,0,5,0.0,4
4,28,0,0,7,99,261,156,0,3,14714,10,11,0,7,0.0,5
3,1,0,0,7,47,306,19,0,3,14871,5,4,0,12,0.0,1
1,29,0,0,19,125,281,133,1,3,13465,11,12,0,5,0.0,4
6,36,0,0,7,126,29,229,0,3,7198,11,11,0,3,4.83,3
4,27,0,0,7,36,54,96,0,1,10262,9,8,0,8,3.07,6
4,30,0,0,7,150,66,218,0,1,10262,13,15,0,13,0.11,6
4,26,0,0,7,112,274,141,0,3,16079,9,7,0,2,0.0,7
4,26,0,0,7,150,85,218,0,1,12898,9,7,0,2,0.0,7
6,2,0,0,7,32,275,18,0,3,15353,4,3,0,13,0.0,4
3,6,0,0,14,86,312,245,0,3,6528,0,0,0,0,0.0,1
4,12,0,0,0,79,221,121,1,3,9483,8,7,0,7,0.0,4
4,28,0,0,20,66,257,238,1,3,18804,10,11,0,7,0.0,5
1,33,0,0,9,11,160,173,3,3,5201,9,12,0,6,4.28,7
4,26,0,0,7,64,257,239,0,3,16079,9,7,0,2,0.0,7
6,26,0,0,7,115,30,242,0,3,6795,9,7,0,2,0.0,7
6,35,0,0,16,93,27,4,1,3,15965,13,15,0,1,0.0,7
1,12,0,0,20,74,284,176,1,3,9968,8,7,0,7,0.0,4
4,26,0,0,7,56,257,257,0,3,16079,9,7,0,2,0.0,7
4,31,0,0,16,143,224,57,1,1,11507,13,16,0,8,0.0,4
3,22,0,0,6,11,204,211,0,3,6496,13,14,0,13,0.0,4
4,8,0,0,7,120,84,1,0,1,6540,3,4,0,7,0.0,5
0,6,0,0,6,133,131,12,0,3,6151,0,0,0,0,0.0,1
4,35,0,0,7,83,228,115,0,1,10262,13,15,0,1,0.0,7
1,22,0,0,28,12,111,142,0,3,8425,13,14,0,13,0.0,4
6,31,0,0,14,27,314,60,0,3,9646,13,16,0,8,0.0,4
9,13,0,0,9,19,176,197,3,3,6216,11,11,0,11,0.0,4
6,20,0,0,7,32,257,15,0,3,9315,10,9,0,7,0.0,4
6,8,0,0,7,56,252,254,0,3,11667,3,4,0,7,0.0,5
6,2,0,0,7,75,33,28,0,3,15603,4,3,0,13,0.0,4
4,20,0,0,19,129,223,78,1,3,15129,10,9,0,7,0.0,4
6,29,0,0,7,32,257,15,0,3,12524,11,12,0,5,0.0,4
4,27,0,0,7,128,259,126,0,1,10262,9,8,0,8,3.07,6
4,26,0,0,7,120,274,136,0,3,16079,9,7,0,2,0.0,7
4,27,0,0,16,143,259,108,1,3,13292,9,8,0,8,3.07,6
0,20,0,0,6,35,237,217,0,3,6751,10,9,0,7,0.0,4
1,22,0,0,7,26,275,24,0,3,8669,13,14,0,13,0.0,4
3,1,0,0,7,112,32,256,0,3,14871,5,4,0,12,0.0,1
4,24,0,0,7,83,257,212,0,1,12898,14,15,0,8,0.0,5
6,0,0,0,7,73,275,228,0,3,36983,5,3,0,5,0.0,4
4,28,0,0,16,51,217,156,1,3,13292,10,11,0,7,0.0,5
1,32,0,0,27,12,149,149,2,3,10493,12,14,0,8,0.0,0
1,29,0,0,8,25,142,137,1,3,13381,11,12,0,5,0.0,4
1,24,0,0,5,18,153,143,1,3,11911,14,15,0,8,0.0,5
6,28,0,0,7,75,275,226,0,3,14848,10,11,0,7,0.0,5
